"","nsum","nGene"
"786",1309,414
"787",1267,358
"788",13851,1117
"789",11394,478
"790",10642,317
"791",10771,321
"792",10556,490
"793",10332,356
"794",11792,1045
"795",10705,426
"796",10662,410
"797",10111,322
"798",9956,336
"799",11868,1448
"800",9936,422
"801",9666,328
"802",9225,520
"803",8690,502
"804",9142,377
"805",9240,522
"806",8702,308
"807",8585,381
"808",8246,401
"809",12522,1633
"810",8315,378
"811",8620,416
"812",7885,305
"813",7675,352
"814",10663,1530
"815",11523,2061
"816",8251,845
"817",7868,649
"818",6950,353
"819",7378,361
"820",15821,3241
"821",8664,1247
"822",7471,736
"823",8242,927
"824",6477,361
"825",6244,407
"826",6373,457
"827",6497,483
"828",7588,908
"829",6670,526
"830",6538,473
"831",5583,305
"832",6141,526
"833",6181,757
"834",7032,935
"835",12749,2629
"836",5210,316
"837",6057,659
"838",5558,568
"839",8274,1291
"840",4919,346
"841",6533,1238
"842",4652,422
"843",5114,756
"844",5129,644
"845",4230,332
"846",4453,511
"847",4084,355
"848",4583,741
"849",4659,627
"850",3958,369
"851",4231,564
"852",4323,698
"853",3641,324
"854",4613,772
"855",4482,733
"856",3339,350
"857",3558,558
"858",3580,308
"859",3371,306
"860",4003,675
"861",3026,331
"862",4280,708
"863",5659,1366
"864",4437,757
"865",4108,688
"866",3304,374
"867",3246,340
"868",3430,478
"869",3477,581
"870",3278,455
"871",6093,1703
"872",5185,1419
"873",2992,360
"874",3495,460
"875",3529,504
"876",3455,485
"877",3217,503
"878",3324,466
"879",5131,1263
"880",2922,352
"881",5151,1134
"882",4134,1085
"883",3963,1002
"884",3716,695
"885",8737,2281
"886",2800,374
"887",2863,336
"888",3005,609
"889",4335,1209
"890",2798,522
"891",4059,893
"892",2735,340
"893",2710,312
"894",3907,1108
"895",2875,442
"896",4246,1124
"897",3098,521
"898",2726,329
"899",3115,509
"900",3290,675
"901",3172,616
"902",3102,724
"903",2481,333
"904",3033,397
"905",2703,345
"906",7165,2318
"907",2565,382
"908",4852,988
"909",2992,575
"910",2856,370
"911",2579,340
"912",2742,453
"913",2838,525
"914",7176,1856
"915",2517,323
"916",2650,349
"917",2592,355
"918",3147,637
"919",3979,1023
"920",5333,1742
"921",2718,471
"922",4115,1045
"923",2525,448
"924",5676,1845
"925",2438,457
"926",2999,730
"927",6699,2152
"928",5625,1527
"929",2446,336
"930",2977,662
"931",2379,326
"932",2448,304
"933",4333,1115
"934",4501,1172
"935",2701,470
"936",2426,388
"937",3217,875
"938",2570,404
"939",2774,521
"940",2648,482
"941",2870,553
"942",5798,1961
"943",5038,1109
"944",2700,512
"945",2359,330
"946",2828,590
"947",4933,1496
"948",3013,712
"949",2404,394
"950",2548,443
"951",3265,614
"952",2465,479
"953",2436,461
"954",2666,488
"955",2181,338
"956",2165,304
"957",4813,1639
"958",10656,2944
"959",5200,1588
"960",5843,1650
"961",2649,408
"962",2347,336
